season,player_id,player_display_name,position,team,games_played,age,years_exp,draft_number,value_score,value_epa_total,position_season_percentile,salary_millions,salary_source,contract_player,contract_team,year_signed,years,apy,apy_cap_pct,inflated_apy,value_per_million,epa_per_million,salary_percentile,value_cost_percentile_gap,expected_value_given_salary,value_above_expected_salary,salary_efficiency_percentile,salary_efficiency_tier,has_salary,salary_match_status,salary_interpretation
2021,00-0033932,Kenny Golladay,WR,NYG,14,28,4,96,-0.770981013979,-3.44906463297,0.166666666667,29.707397,inflated_apy,Kenny Golladay,Giants,2021,4,18,0.099,29.707397,-0.0259524930434,-0.116101206476,0.979899497487,-0.813232830821,0.686566556148,-1.45754757013,0.0251256281407,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033943,Josh Reynolds,WR,DET,11,26,4,117,0.336596773591,18.8842784421,0.735294117647,2.888219,inflated_apy,Josh Reynolds,TEN/DET,2021,1,1.75,0.01,2.888219,0.116541291914,6.53838176473,0.643216080402,0.092078037245,-0.0848427253314,0.421439498922,0.793969849246,Above Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033948,Jamaal Williams,RB,DET,13,26,4,134,0.250636011007,-1.51195927306,0.612403100775,4.951233,inflated_apy,Jamaal Williams,Lions,2021,2,3,0.016,4.951233,0.0506209283642,-0.305370252836,0.834677419355,-0.22227431858,0.210955561789,0.0396804492181,0.459677419355,Below Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033950,Wayne Gallman,RB,ATL,7,27,4,140,0.0792843974717,-3.82164643914,0.46511627907,1.633907,inflated_apy,Wayne Gallman,Falcons,2021,1,0.99,0.005,1.633907,0.0485244248734,-2.33896203342,0.435483870968,0.029632408102,-0.349296937804,0.428581335275,0.637096774194,Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033951,Marlon Mack,RB,IND,5,25,4,143,-0.230733787016,-8.00045168755,0.348837209302,3.300822,inflated_apy,Marlon Mack,Colts,2021,1,2,0.011,3.300822,-0.0699019174667,-2.4237755588,0.733870967742,-0.38503375844,-0.301964647636,0.0712308606199,0.475806451613,Below Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033955,Jeremy McNichols,RB,TEN,13,26,4,162,0.163503996806,-2.68643140556,0.527131782946,0.273308,inflated_apy,Jeremy McNichols,Titans,2021,1,0.1656,0.001,0.273308,0.598240800876,-9.82931859131,0.00806451612903,0.519067266817,-0.244007034006,0.407511030812,0.620967741935,Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0034011,Dan Arnold,TE,JAX,11,26,4,,-0.167663732453,4.59343792098,0.559633027523,4.951233,inflated_apy,Dan Arnold,JAX/CAR,2021,2,3,0.016,4.951233,-0.0338630261296,0.927736166119,0.716346153846,-0.156713126323,0.101564494433,-0.269228226886,0.346153846154,Below Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0034052,Brandon Zylstra,WR,CAR,12,28,3,,-0.146636175113,9.14030619053,0.53431372549,1.518378,inflated_apy,Brandon Zylstra,Panthers,2021,1,0.92,0.005,1.518378,-0.0965742226986,6.01978307808,0.316582914573,0.217730810917,-0.157812793523,0.0111766184107,0.608040201005,Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0034073,Ross Dwelley,TE,SF,4,26,3,,-0.404516334275,1.56331590487,0.376146788991,2.640658,inflated_apy,Ross Dwelley,49ers,2021,1,1.6,0.009,2.640658,-0.153187703321,0.592017559591,0.591346153846,-0.215199364855,-0.392406387543,-0.0121099467325,0.596153846154,Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0034104,Cam Sims,WR,WAS,12,25,3,,-0.135993883414,9.35489874942,0.539215686275,3.520327,inflated_apy,Cam Sims,Commanders,2021,1,2.133,0.012,3.520327,-0.0386310372344,2.65739482424,0.678391959799,-0.139176273524,0.0231337997728,-0.159127683187,0.427135678392,Below Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
