season,team,player_seasons,total_cap_over_replacement_millions,total_value_over_replacement,total_dollar_surplus_millions,mean_dollar_surplus_millions
2025,DEN,11,42.079123,5.93165658253,-30.2223224026,-3.02223224026
2021,SEA,12,41.556332,4.58616430653,-30.5052779963,-2.77320709057
2020,NYG,10,35.014764,0.418203527928,-30.6649605232,-3.40721783591
2020,DET,9,38.972515,1.23295183289,-30.6978872075,-3.83723590094
2019,MIA,11,49.95842,-0.0964495325977,-30.9703424983,-2.81548568167
2017,CHI,9,33.779849,-0.0024092828585,-30.9747403596,-3.44163781773
2017,KC,11,61.5643595,11.6702550275,-31.0613652883,-2.82376048075
2022,GB,12,35.920148,1.98436797602,-31.1062703694,-2.82784276085
2018,IND,11,48.639533,4.19121661873,-31.2768295952,-3.12768295952
2024,CAR,12,42.417935,0.461815724278,-31.4627575728,-2.6218964644
2018,PIT,12,46.0844885,6.18750033,-31.4803749463,-2.86185226785
2020,KC,10,67.604689,10.0015342531,-31.5432597505,-3.50480663894
2020,MIA,14,31.760418,1.39234556276,-31.6831057799,-2.64025881499
2017,ARI,9,38.2861855,-4.17186965534,-31.814922862,-3.53499142911
2020,NYJ,13,29.737223,-4.51922947991,-32.3663304512,-2.69719420426
2024,LAC,11,83.316984,6.65727514552,-32.5623307532,-2.96021188666
2024,NE,10,42.729311,0.876313612858,-32.7620948208,-3.27620948208
2021,MIN,9,47.511756,1.42681089688,-33.5352394241,-4.19190492802
2019,HOU,12,65.134786,8.10252914323,-33.8075193867,-2.81729328222
2022,PIT,13,34.806931,0.135007913505,-34.2755690696,-2.85629742246
2016,CHI,7,42.1704005,3.43969036722,-34.3647735664,-4.90925336663
2016,MIN,9,55.0190745,4.04133482672,-34.5696985078,-3.84107761197
2020,CLE,10,53.79315,6.31367171594,-34.6345740136,-3.84828600151
2021,NO,11,38.181697,-2.51957221842,-34.9712933991,-3.17920849083
2022,NO,11,50.485763,-0.982499883857,-35.0901211576,-3.50901211576
2018,JAX,10,37.996494,-5.50287405739,-35.5851126526,-3.95390140584
2023,MIA,11,81.558807,12.6788348595,-35.5884518186,-3.2353138017
2018,CAR,10,41.398721,5.41316198506,-35.8952531835,-3.98836146484
2019,BUF,12,51.223884,1.47336001438,-36.0018579352,-3.00015482793
2018,WAS,11,36.3510505,-2.5696347009,-36.6330838636,-3.66330838636
2024,LV,10,35.947913,-1.95046179406,-36.6376444224,-3.66376444224
2017,PHI,12,72.46525,10.6341040401,-36.8811606857,-3.07343005714
2025,WAS,13,44.641503,4.32712899077,-37.0751065627,-3.08959221355
2018,LAC,10,55.042433,8.72071443458,-37.1239824424,-4.12488693805
2016,MIA,10,46.799494,5.23380202208,-37.1853787997,-3.71853787997
2023,CHI,11,55.757009,3.07963187123,-37.3348544428,-3.39407767662
2017,LA,11,62.58752,8.17473905656,-37.3517261638,-3.39561146943
2021,KC,13,57.209681,9.23563719052,-37.5332422536,-3.1277701878
2022,MIN,12,54.508428,1.44690229477,-37.534431208,-3.41222101891
2018,LA,10,64.42119,11.2728791215,-37.5869416334,-4.17632684816
2021,IND,10,44.032717,6.50241219024,-37.6134517146,-4.17927241273
2025,BUF,12,53.311038,10.4766456338,-37.8738909546,-3.44308099587
2025,DAL,12,62.887012,9.96185448186,-37.8827663107,-3.44388784643
2018,PHI,10,57.1541745,5.84152807688,-38.2671716054,-4.25190795616
2023,ATL,12,44.3541515,-1.88314165584,-38.3112906959,-3.19260755799
2022,HOU,10,34.811391,-6.09846784116,-38.58492193,-4.28721354777
2018,NYJ,12,36.0335185,-4.68017328151,-38.7035104139,-3.51850094672
2021,GB,13,43.108651,4.61179329471,-38.764285581,-3.23035713175
2017,CLE,10,27.3396685,-6.44719039322,-38.9439148602,-3.89439148602
2024,GB,9,80.616901,6.88584592618,-39.1056666098,-4.34507406776
2023,PIT,11,44.8644555,-1.11887485267,-39.1931175014,-3.56301068195
2021,CIN,10,57.511316,6.42679531983,-39.3469754036,-4.37188615595
2018,CIN,11,51.9915645,1.83132970997,-39.7211268533,-4.41345853926
2021,LAC,12,47.66504,1.69897024091,-39.8715438097,-3.62468580088
2018,CHI,10,49.988277,0.262556639104,-39.8840974826,-4.43156638695
2020,MIN,12,62.667679,8.91681253244,-39.9469977214,-3.6315452474
2021,LA,9,61.961877,4.56532852872,-40.2579625184,-5.03224531479
2018,ARI,9,35.114269,-8.34891338818,-40.2800060239,-5.03500075299
2018,TB,11,67.1720475,4.64595692953,-40.6263079526,-4.51403421696
2017,HOU,10,45.227304,0.283213296029,-41.2226586393,-4.12226586393
